VGS_V,VDS_V,ID_A
0.60,0.500,2.185111e-05
0.60,0.510,2.214429e-05
0.60,0.520,2.243795e-05
0.60,0.530,2.273213e-05
0.60,0.540,2.302682e-05
0.60,0.550,2.332206e-05
0.60,0.560,2.361787e-05
0.60,0.570,2.391427e-05
0.60,0.580,2.421131e-05
0.60,0.590,2.450901e-05
0.60,0.600,2.480742e-05
0.60,0.610,2.510660e-05
0.60,0.620,2.540660e-05
0.60,0.630,2.570749e-05
0.60,0.640,2.600932e-05
0.60,0.650,2.631219e-05
0.60,0.660,2.661618e-05
0.60,0.670,2.692138e-05
0.60,0.680,2.722789e-05
0.60,0.690,2.753582e-05
0.60,0.700,2.784529e-05
0.60,0.710,2.815643e-05
0.60,0.720,2.846936e-05
0.60,0.730,2.878424e-05
0.60,0.740,2.910121e-05
0.60,0.750,2.942044e-05
0.60,0.760,2.974208e-05
0.60,0.770,3.006631e-05
0.60,0.780,3.039333e-05
0.60,0.790,3.072332e-05
0.60,0.800,3.105648e-05
0.70,0.000,-3.724202e-12
0.70,0.010,1.556216e-06
0.70,0.020,3.061279e-06
0.70,0.030,4.515036e-06
0.70,0.040,5.917535e-06
0.70,0.050,7.268908e-06
0.70,0.060,8.569302e-06
0.70,0.070,9.818846e-06
0.70,0.080,1.101764e-05
0.70,0.090,1.216572e-05
0.70,0.100,1.326310e-05
0.70,0.110,1.430974e-05
0.70,0.120,1.530559e-05
0.70,0.130,1.625063e-05
0.70,0.140,1.714493e-05
0.70,0.150,1.798876e-05
0.70,0.160,1.878267e-05
0.70,0.170,1.952767e-05
0.70,0.180,2.022528e-05
0.70,0.190,2.087767e-05
0.70,0.200,2.148762e-05
0.70,0.210,2.205847e-05
0.70,0.220,2.259394e-05
0.70,0.230,2.309794e-05
0.70,0.240,2.357437e-05
0.70,0.250,2.402694e-05
0.70,0.260,2.445904e-05
0.70,0.270,2.487371e-05
0.70,0.280,2.527359e-05
0.70,0.290,2.566094e-05
0.70,0.300,2.603769e-05
0.70,0.310,2.640545e-05
0.70,0.320,2.676557e-05
0.70,0.330,2.711919e-05
0.70,0.340,2.746726e-05
0.70,0.350,2.781057e-05
0.70,0.360,2.814978e-05
0.70,0.370,2.848547e-05
0.70,0.380,2.881809e-05
0.70,0.390,2.914805e-05
0.70,0.400,2.947570e-05
0.70,0.410,2.980132e-05
0.70,0.420,3.012516e-05
0.70,0.430,3.044745e-05
0.70,0.440,3.076835e-05
0.70,0.450,3.108804e-05
0.70,0.460,3.140666e-05
0.70,0.470,3.172432e-05
0.70,0.480,3.204113e-05
0.70,0.490,3.235719e-05
0.70,0.500,3.267259e-05
0.70,0.510,3.298739e-05
0.70,0.520,3.330167e-05
0.70,0.530,3.361550e-05
0.70,0.540,3.392892e-05
0.70,0.550,3.424199e-05
0.70,0.560,3.455477e-05
0.70,0.570,3.486732e-05
0.70,0.580,3.517967e-05
0.70,0.590,3.549189e-05
0.70,0.600,3.580404e-05
0.70,0.610,3.611617e-05
0.70,0.620,3.642834e-05
0.70,0.630,3.674061e-05
0.70,0.640,3.705307e-05
0.70,0.650,3.736579e-05
0.70,0.660,3.767885e-05
