frequency,Vgate,Ir,Ii,Vr,Vi,C_gg
19.95262,0.4,-1.51411e-14,-2.4377e-18,0.001,0.0,1.944466464930988e-17
22.38721,0.4,-1.51411e-14,-2.7351e-18,0.001,0.0,1.944434723445409e-17
25.11886,0.4,-1.51411e-14,-3.0689000000000003e-18,0.001,0.0,1.9444775951405342e-17
28.18383,0.4,-1.51411e-14,-3.4433e-18,0.001,0.0,1.944441956782748e-17
31.62278,0.4,-1.51411e-14,-3.8635e-18,0.001,0.0,1.9444689006960733e-17
35.48134,0.4,-1.51411e-14,-4.334900000000001e-18,0.001,0.0,1.9444608428234592e-17
39.81072,0.4,-1.51411e-14,-4.863900000000001e-18,0.001,0.0,1.9444856252403116e-17
44.66836,0.4,-1.51411e-14,-5.4573e-18,0.001,0.0,1.9444552496115832e-17
50.11872,0.4,-1.51411e-14,-6.1232e-18,0.001,0.0,1.944458173593207e-17
56.23413,0.4,-1.51411e-14,-6.870400000000001e-18,0.001,0.0,1.9444741494508012e-17
63.09573,0.4,-1.51411e-14,-7.708700000000001e-18,0.001,0.0,1.9444702673421698e-17
70.79458,0.4,-1.51411e-14,-8.6493e-18,0.001,0.0,1.9444692648571836e-17
79.43282,0.4,-1.51411e-14,-9.704700000000002e-18,0.001,0.0,1.9444745587830283e-17
89.12509,0.4,-1.51411e-14,-1.08888e-17,0.001,0.0,1.944465182968152e-17
100.0,0.4,-1.51411e-14,-1.22175e-17,0.001,0.0,1.9444755172252313e-17
112.20185,0.4,-1.51411e-14,-1.37082e-17,0.001,0.0,1.9444668611901852e-17
125.89254,0.4,-1.51411e-14,-1.53809e-17,0.001,0.0,1.9444728529602574e-17
141.25375,0.4,-1.51411e-14,-1.72576e-17,0.001,0.0,1.944466851961589e-17
158.48932,0.4,-1.51411e-14,-1.93634e-17,0.001,0.0,1.944472236404072e-17
177.82794,0.4,-1.51411e-14,-2.17261e-17,0.001,0.0,1.9444729602720623e-17
199.52623,0.4,-1.51411e-14,-2.4377000000000002e-17,0.001,0.0,1.9444661725684553e-17
223.87211,0.4,-1.51411e-14,-2.7351500000000004e-17,0.001,0.0,1.9444701825421558e-17
251.18864,0.4,-1.51411e-14,-3.06889e-17,0.001,0.0,1.9444709494238542e-17
281.83829,0.4,-1.51411e-14,-3.4433500000000004e-17,0.001,0.0,1.9444702609268525e-17
316.22777,0.4,-1.51411e-14,-3.8635e-17,0.001,0.0,1.9444690851645874e-17
354.81339,0.4,-1.51411e-14,-4.3349200000000007e-17,0.001,0.0,1.9444698688172928e-17
398.10717,0.4,-1.51411e-14,-4.86386e-17,0.001,0.0,1.9444697806044187e-17
446.68359,0.4,-1.51411e-14,-5.45734e-17,0.001,0.0,1.9444695452839992e-17
501.18723,0.4,-1.51411e-14,-6.12324e-17,0.001,0.0,1.9444707594365826e-17
562.34133,0.4,-1.51411e-14,-6.870390000000001e-17,0.001,0.0,1.9444712154966933e-17
630.95734,0.4,-1.51411e-14,-7.708700000000001e-17,0.001,0.0,1.9444701440710614e-17
707.94578,0.4,-1.51411e-14,-8.6493e-17,0.001,0.0,1.9444693197899e-17
794.32823,0.4,-1.51411e-14,-9.704680000000002e-17,0.001,0.0,1.9444704780605054e-17
891.25094,0.4,-1.51411e-14,-1.088883e-16,0.001,0.0,1.9444704529426054e-17
1000.0,0.4,-1.51411e-14,-1.2217470000000001e-16,0.001,0.0,1.944470742576939e-17
1122.02,0.4,-1.51411e-14,-1.370822e-16,0.001,0.0,1.9444670986178337e-17
1258.93,0.4,-1.51411e-14,-1.538088e-16,0.001,0.0,1.9444632196414978e-17
1412.54,0.4,-1.51411e-14,-1.725763e-16,0.001,0.0,1.9444667907110497e-17
1584.8899999999999,0.4,-1.51411e-14,-1.9363380000000003e-16,0.001,0.0,1.9444741540212542e-17
1778.28,0.4,-1.51411e-14,-2.1726070000000003e-16,0.001,0.0,1.9444696192166222e-17
1995.26,0.4,-1.51411e-14,-2.437705e-16,0.001,0.0,1.9444724023426963e-17
2238.72,0.4,-1.51411e-14,-2.73515e-16,0.001,0.0,1.9444711379618605e-17
2511.8900000000003,0.4,-1.51411e-14,-3.068888e-16,0.001,0.0,1.9444668954269512e-17
2818.38,0.4,-1.51411e-14,-3.44335e-16,0.001,0.0,1.9444722617087754e-17
3162.28,0.4,-1.51411e-14,-3.863502e-16,0.001,0.0,1.9444686774903673e-17
3548.13,0.4,-1.51411e-14,-4.3349200000000005e-16,0.001,0.0,1.944472006121306e-17
3981.0699999999997,0.4,-1.51411e-14,-4.86386e-16,0.001,0.0,1.9444706109336087e-17
4466.84,0.4,-1.51411e-14,-5.457341e-16,0.001,0.0,1.944468116807558e-17
5011.87,0.4,-1.51411e-14,-6.123238000000001e-16,0.001,0.0,1.944471016662705e-17
5623.41,0.4,-1.51411e-14,-6.870386000000001e-16,0.001,0.0,1.9444712244871965e-17
6309.57,0.4,-1.51411e-14,-7.708699000000001e-16,0.001,0.0,1.944470939632258e-17
7079.46,0.4,-1.51411e-14,-8.649303000000001e-16,0.001,0.0,1.9444693899669745e-17
7943.28,0.4,-1.51411e-14,-9.704677000000002e-16,0.001,0.0,1.9444704399948458e-17
8912.509999999998,0.4,-1.51411e-14,-1.0889e-15,0.001,0.0,1.9445006797497547e-17
10000.0,0.4,-1.51411e-14,-1.2217000000000001e-15,0.001,0.0,1.9443959397536857e-17
11220.179999999998,0.4,-1.51411e-14,-1.3708000000000001e-15,0.001,0.0,1.944439358284539e-17
12589.25,0.4,-1.51411e-14,-1.5381e-15,0.001,0.0,1.9444861129109696e-17
14125.38,0.4,-1.51411e-14,-1.7258000000000002e-15,0.001,0.0,1.9445112328871365e-17
15848.929999999998,0.4,-1.51411e-14,-1.9363e-15,0.001,0.0,1.9444323137829303e-17
17782.789999999997,0.4,-1.51411e-14,-2.1726000000000002e-15,0.001,0.0,1.94446444771294e-17
19952.62,0.4,-1.51411e-14,-2.4377e-15,0.001,0.0,1.944466464930988e-17
22387.21,0.4,-1.51411e-14,-2.7351000000000002e-15,0.001,0.0,1.9444347234454093e-17
25118.86,0.4,-1.51411e-14,-3.0689000000000002e-15,0.001,0.0,1.9444775951405345e-17
28183.83,0.4,-1.51411e-14,-3.4433e-15,0.001,0.0,1.9444419567827484e-17
31622.78,0.4,-1.51411e-14,-3.8635000000000006e-15,0.001,0.0,1.9444689006960736e-17
35481.340000000004,0.4,-1.51411e-14,-4.3349e-15,0.001,0.0,1.944460842823459e-17
39810.72,0.4,-1.51411e-14,-4.863900000000001e-15,0.001,0.0,1.944485625240312e-17
44668.36,0.4,-1.51411e-14,-5.4573000000000005e-15,0.001,0.0,1.9444552496115832e-17
50118.72,0.4,-1.51411e-14,-6.1232000000000006e-15,0.001,0.0,1.9444581735932077e-17
56234.13,0.4,-1.51411e-14,-6.8704000000000006e-15,0.001,0.0,1.9444741494508012e-17
63095.73,0.4,-1.51411e-14,-7.708700000000002e-15,0.001,0.0,1.9444702673421698e-17
70794.58,0.4,-1.51411e-14,-8.649300000000001e-15,0.001,0.0,1.9444692648571833e-17
79432.82,0.4,-1.51411e-14,-9.704700000000002e-15,0.001,0.0,1.944474558783028e-17
89125.09,0.4,-1.51411e-14,-1.0888800000000001e-14,0.001,0.0,1.944465182968152e-17
100000.0,0.4,-1.51411e-14,-1.2217500000000001e-14,0.001,0.0,1.9444755172252316e-17
112201.84999999999,0.4,-1.51411e-14,-1.3708200000000001e-14,0.001,0.0,1.9444668611901855e-17
125892.54,0.4,-1.51411e-14,-1.5380900000000002e-14,0.001,0.0,1.9444728529602574e-17
141253.75,0.4,-1.51411e-14,-1.72576e-14,0.001,0.0,1.9444668519615893e-17
158489.31999999998,0.4,-1.51411e-14,-1.93634e-14,0.001,0.0,1.9444722364040724e-17
177827.94,0.4,-1.51411e-14,-2.17261e-14,0.001,0.0,1.9444729602720626e-17
199526.23,0.4,-1.51411e-14,-2.4377e-14,0.001,0.0,1.944466172568455e-17
223872.11,0.4,-1.51411e-14,-2.7351500000000003e-14,0.001,0.0,1.944470182542156e-17
251188.63999999998,0.4,-1.51411e-14,-3.06889e-14,0.001,0.0,1.9444709494238542e-17
281838.29,0.4,-1.51411e-14,-3.4433500000000005e-14,0.001,0.0,1.9444702609268525e-17
316227.77,0.4,-1.51411e-14,-3.8635000000000004e-14,0.001,0.0,1.9444690851645878e-17
354813.39,0.4,-1.51411e-14,-4.3349200000000005e-14,0.001,0.0,1.9444698688172928e-17
398107.17,0.4,-1.51411e-14,-4.86386e-14,0.001,0.0,1.944469780604419e-17
446683.58999999997,0.4,-1.51411e-14,-5.45734e-14,0.001,0.0,1.944469545283999e-17
501187.23,0.4,-1.51411e-14,-6.12324e-14,0.001,0.0,1.9444707594365826e-17
562341.33,0.4,-1.51411e-14,-6.87039e-14,0.001,0.0,1.944471215496693e-17
630957.3400000001,0.4,-1.51411e-14,-7.708700000000001e-14,0.001,0.0,1.9444701440710614e-17
707945.78,0.4,-1.51411e-14,-8.6493e-14,0.001,0.0,1.9444693197899e-17
794328.23,0.4,-1.51411e-14,-9.704680000000001e-14,0.001,0.0,1.944470478060505e-17
891250.9400000001,0.4,-1.51411e-14,-1.0888830000000001e-13,0.001,0.0,1.9444704529426054e-17
1000000.0,0.4,-1.51411e-14,-1.221747e-13,0.001,0.0,1.944470742576939e-17
1122020.0,0.4,-1.51411e-14,-1.3708220000000002e-13,0.001,0.0,1.9444670986178334e-17
